"Date","Price","Open","High","Low","Vol.","Change %"
"11/05/2015","16,020.7","15,421.8","16,020.7","15,421.8","7.24M","2.88%"
"11/04/2015","15,571.5","15,871.0","16,020.7","15,571.5","4.71M","-0.95%"
"11/03/2015","15,721.2","14,972.6","15,721.2","14,942.7","10.09M","6.06%"
"11/02/2015","14,822.9","14,792.9","15,272.0","14,763.0","7.41M","0.41%"
"10/30/2015","14,763.0","14,792.9","14,822.9","14,643.2","2.61M","0.00%"
"10/29/2015","14,763.0","14,763.0","14,882.8","14,703.1","4.90M","1.02%"
"10/28/2015","14,613.3","14,403.6","14,643.2","14,403.6","7.10M","1.67%"
"10/27/2015","14,373.7","14,194.0","14,463.5","14,194.0","3.57M","0.84%"
"10/26/2015","14,253.9","14,224.0","14,523.4","14,224.0","6.99M","1.06%"
"10/23/2015","14,104.2","14,134.1","14,194.0","14,074.2","1.91M","0.43%"
"10/22/2015","14,044.3","14,014.4","14,104.2","14,014.4","1.26M","-0.21%"
"10/21/2015","14,074.2","14,253.9","14,253.9","14,074.2","1.87M","-0.63%"
"10/20/2015","14,164.1","14,104.2","14,343.7","14,074.2","5.23M","0.42%"
"10/19/2015","14,104.2","13,984.4","14,313.8","13,984.4","3.71M","0.86%"
"10/16/2015","13,984.4","13,984.4","14,044.3","13,984.4","1.46M","0.21%"
"10/15/2015","13,954.5","14,044.3","14,044.3","13,924.5","1.13M","-0.21%"
"10/14/2015","13,984.4","14,074.2","14,343.7","13,954.5","8.17M","2.64%"
"10/13/2015","13,625.1","13,714.9","13,714.9","13,595.1","791.51K","-0.65%"
"10/12/2015","13,714.9","13,685.0","13,744.8","13,685.0","1.10M","0.00%"
"10/09/2015","13,714.9","13,774.8","13,894.6","13,714.9","2.07M","0.00%"
"10/08/2015","13,714.9","13,535.2","13,714.9","13,535.2","878.88K","1.33%"
"10/07/2015","13,535.2","13,834.7","13,834.7","13,475.3","896.46K","-1.74%"
"10/06/2015","13,774.8","13,655.0","13,834.7","13,595.1","2.45M","2.22%"
"10/05/2015","13,475.3","13,385.5","13,505.3","13,355.6","1.02M","0.90%"
"10/02/2015","13,355.6","13,355.6","13,415.4","13,325.6","482.63K","0.00%"
"10/01/2015","13,355.6","13,325.6","13,385.5","13,295.7","476.49K","0.23%"
"09/30/2015","13,325.6","13,415.4","13,415.4","13,265.7","423.92K","0.00%"
"09/29/2015","13,325.6","13,325.6","13,325.6","13,265.7","690.56K","0.00%"
"09/28/2015","13,325.6","13,445.4","13,475.3","13,325.6","710.42K","-0.89%"
"09/25/2015","13,445.4","13,535.2","13,535.2","13,415.4","688.39K","-0.44%"
"09/24/2015","13,505.3","13,415.4","13,565.2","13,415.4","763.23K","0.45%"
"09/23/2015","13,445.4","13,505.3","13,595.1","13,445.4","1.19M","-0.66%"
"09/22/2015","13,535.2","13,625.1","13,655.0","13,505.3","768.38K","-0.66%"
"09/21/2015","13,625.1","13,325.6","13,625.1","13,325.6","1.46M","2.02%"
"09/18/2015","13,355.6","13,355.6","13,445.4","13,205.8","1.97M","1.83%"
"09/17/2015","13,116.0","13,086.1","13,175.9","13,086.1","323.86K","0.23%"
"09/16/2015","13,086.1","13,086.1","13,145.9","13,056.1","328.48K","0.00%"
"09/15/2015","13,086.1","13,056.1","13,145.9","13,026.2","241.98K","0.00%"
"09/14/2015","13,086.1","13,175.9","13,175.9","13,086.1","566.20K","-0.68%"
"09/11/2015","13,175.9","13,295.7","13,295.7","13,175.9","473.57K","-0.45%"
"09/10/2015","13,235.8","13,205.8","13,235.8","13,145.9","607.54K","0.23%"
"09/09/2015","13,205.8","13,265.7","13,295.7","13,205.8","933.76K","0.46%"
"09/08/2015","13,145.9","13,026.2","13,205.8","13,026.2","517.99K","0.69%"
"09/07/2015","13,056.1","13,175.9","13,175.9","12,996.2","381.07K","-0.46%"
"09/04/2015","13,116.0","13,086.1","13,205.8","13,056.1","531.42K","0.23%"
"09/03/2015","13,086.1","13,145.9","13,205.8","13,086.1","959.25K","-0.91%"
"09/01/2015","13,205.8","13,295.7","13,295.7","13,145.9","848.51K","-0.23%"
"08/31/2015","13,235.8","13,325.6","13,415.4","13,205.8","1.02M","-1.12%"
"08/28/2015","13,385.5","13,355.6","13,415.4","13,265.7","2.35M","0.90%"
"08/27/2015","13,265.7","13,205.8","13,355.6","13,175.9","1.86M","0.45%"
"08/26/2015","13,205.8","12,876.4","13,325.6","12,876.4","2.55M","2.80%"
"08/25/2015","12,846.5","12,577.0","13,026.2","12,577.0","3.46M","1.18%"
"08/24/2015","12,696.8","13,295.7","13,355.6","12,666.8","5.60M","-6.19%"
"08/21/2015","13,535.2","13,505.3","13,535.2","13,175.9","3.15M","-0.66%"
"08/20/2015","13,625.1","13,834.7","13,834.7","13,595.1","1.02M","-1.30%"
"08/19/2015","13,804.7","13,744.8","13,924.5","13,625.1","2.29M","1.10%"
"08/18/2015","13,655.0","13,537.8","13,684.3","13,479.2","2.00M","0.87%"
"08/17/2015","13,537.8","13,713.6","13,801.5","13,479.2","2.17M","-1.28%"
"08/14/2015","13,713.6","13,742.9","13,860.1","13,625.7","1.86M","-0.43%"
"08/13/2015","13,772.2","13,948.0","13,948.0","13,713.6","4.18M","-1.26%"
"08/12/2015","13,948.0","14,065.2","14,065.2","13,860.1","3.34M","-1.45%"
"08/11/2015","14,153.2","14,211.8","14,358.3","14,065.2","2.29M","-0.41%"
"08/10/2015","14,211.8","13,918.7","14,211.8","13,918.7","3.13M","2.54%"
"08/07/2015","13,860.1","13,772.2","13,918.7","13,684.3","1.45M","1.07%"
"08/06/2015","13,713.6","13,889.4","13,948.0","13,713.6","1.49M","-1.27%"
"08/05/2015","13,889.4","13,830.8","13,889.4","13,742.9","830.80K","0.85%"
"08/04/2015","13,772.2","13,742.9","13,889.4","13,655.0","1.40M","1.08%"
"08/03/2015","13,625.7","13,772.2","13,772.2","13,596.4","3.02M","-1.69%"
"07/31/2015","13,860.1","13,977.3","14,006.6","13,860.1","1.44M","0.00%"
"07/30/2015","13,860.1","14,035.9","14,065.2","13,860.1","2.49M","-1.25%"
"07/29/2015","14,035.9","14,123.9","14,270.4","13,977.3","2.97M","-0.62%"
"07/28/2015","14,123.9","14,358.3","14,358.3","14,123.9","1.68M","-1.63%"
"07/27/2015","14,358.3","14,035.9","14,504.8","14,006.6","4.95M","2.94%"
"07/24/2015","13,948.0","13,830.8","14,006.6","13,830.8","3.23M","1.28%"
"07/23/2015","13,772.2","13,596.4","14,035.9","13,596.4","5.68M","1.08%"
"07/22/2015","13,625.7","13,362.0","13,625.7","13,332.7","1.21M","1.97%"
"07/21/2015","13,362.0","13,479.2","13,508.5","13,303.4","2.33M","-1.30%"
"07/20/2015","13,537.8","13,596.4","13,596.4","13,449.9","1.11M","-0.43%"
"07/17/2015","13,596.4","13,567.1","13,742.9","13,537.8","837.76K","0.00%"
"07/16/2015","13,596.4","13,537.8","13,596.4","13,420.6","1.62M","0.00%"
"07/15/2015","13,596.4","13,772.2","13,772.2","13,596.4","1.74M","-1.07%"
"07/14/2015","13,742.9","13,742.9","13,830.8","13,655.0","1.05M","0.00%"
"07/13/2015","13,742.9","13,655.0","13,918.7","13,625.7","1.30M","0.64%"
"07/10/2015","13,655.0","13,684.3","13,772.2","13,596.4","2.22M","-0.21%"
"07/09/2015","13,684.3","13,625.7","13,742.9","13,537.8","2.65M","0.00%"
"07/08/2015","13,684.3","13,948.0","14,006.6","13,655.0","3.77M","-1.89%"
"07/07/2015","13,948.0","13,889.4","14,182.5","13,830.8","3.01M","0.21%"
"07/06/2015","13,918.7","13,801.5","13,918.7","13,772.2","2.60M","1.06%"
"07/03/2015","13,772.2","13,889.4","13,889.4","13,742.9","2.01M","-0.42%"
"07/02/2015","13,830.8","13,684.3","13,889.4","13,655.0","2.89M","0.85%"
"07/01/2015","13,713.6","13,596.4","13,801.5","13,508.5","1.96M","0.86%"
"06/30/2015","13,596.4","13,567.1","13,684.3","13,567.1","2.78M","-0.85%"
"06/29/2015","13,713.6","13,713.6","13,977.3","13,625.7","2.48M","1.08%"
"06/26/2015","13,567.1","13,215.5","14,035.9","13,215.5","11.18M","2.89%"
"06/25/2015","13,186.2","13,215.5","13,244.8","13,186.2","1.55M","-0.44%"
"06/24/2015","13,244.8","13,362.0","13,362.0","13,244.8","947.44K","-0.66%"
"06/23/2015","13,332.7","13,362.0","13,391.3","13,303.4","1.66M","-0.22%"
"06/22/2015","13,362.0","13,186.2","13,420.6","13,156.9","3.38M","1.79%"
"06/19/2015","13,127.6","13,039.7","13,215.5","13,039.7","1.39M","0.67%"
"06/18/2015","13,039.7","13,010.4","13,186.2","13,010.4","861.02K","0.23%"
"06/17/2015","13,010.4","13,010.4","13,069.0","12,981.1","1.28M","-0.22%"
"06/16/2015","13,039.7","13,186.2","13,244.8","13,039.7","1.27M","-1.11%"
"06/15/2015","13,186.2","13,303.4","13,303.4","13,127.6","907.08K","-0.22%"
"06/12/2015","13,215.5","13,156.9","13,274.1","13,156.9","2.00M","0.67%"
"06/11/2015","13,127.6","13,069.0","13,156.9","13,069.0","1.12M","0.45%"
"06/10/2015","13,069.0","12,981.1","13,098.3","12,922.4","663.19K","0.68%"
"06/09/2015","12,981.1","12,951.7","13,244.8","12,951.7","1.64M","0.00%"
"06/08/2015","12,981.1","13,186.2","13,215.5","12,981.1","1.86M","-1.12%"
"06/05/2015","13,127.6","13,039.7","13,156.9","12,951.7","1.54M","0.90%"
"06/04/2015","13,010.4","12,951.7","13,039.7","12,951.7","596.07K","0.45%"
"06/03/2015","12,951.7","12,805.2","13,127.6","12,775.9","1.70M","1.14%"
"06/02/2015","12,805.2","12,981.1","12,981.1","12,805.2","2.10M","-1.36%"
"06/01/2015","12,981.1","13,156.9","13,156.9","12,981.1","1.99M","-1.56%"
"05/29/2015","13,186.2","13,332.7","13,332.7","13,156.9","950.04K","-0.88%"
"05/28/2015","13,303.4","13,332.7","13,449.9","13,215.5","3.08M","1.38%"
"05/27/2015","13,122.5","13,247.4","13,372.4","12,997.5","3.71M","-0.94%"
"05/26/2015","13,247.4","13,372.4","13,497.4","13,247.4","2.91M","-1.85%"
"05/25/2015","13,497.4","12,997.5","13,497.4","12,997.5","3.65M","3.85%"
"05/22/2015","12,997.5","13,122.5","13,247.4","12,997.5","1.95M","-0.95%"
"05/21/2015","13,122.5","12,747.5","13,247.4","12,622.6","6.01M","2.94%"
"05/20/2015","12,747.5","12,397.6","12,747.5","12,372.6","3.26M","3.66%"
"05/19/2015","12,297.6","12,172.6","12,297.6","12,172.6","797.78K","0.82%"
"05/18/2015","12,197.6","12,247.6","12,297.6","12,197.6","1.51M","-0.61%"
