"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2021","64,580","65,325","65,474","64,083","2.28M","-1.06%"
"10/29/2021","65,275","65,325","65,524","65,027","2.69M","-0.45%"
"10/28/2021","65,573","65,226","65,822","63,835","2.38M","0.00%"
"10/27/2021","65,573","63,586","66,020","63,586","4.13M","3.12%"
"10/26/2021","63,586","63,586","63,586","63,040","1.99M","-0.31%"
"10/25/2021","63,785","63,586","64,480","63,586","1.85M","0.63%"
"10/22/2021","63,388","63,735","63,785","63,139","1.85M","0.47%"
"10/21/2021","63,090","64,182","64,580","63,090","2.94M","-1.70%"
"10/20/2021","64,182","64,530","65,077","63,586","2.67M","-0.39%"
"10/19/2021","64,431","64,530","65,077","64,133","2.30M","-0.77%"
"10/18/2021","64,928","65,673","66,020","64,928","2.93M","-1.28%"
